Temperatura de equilibrio (K),Masa estelar (M☉),koi_disposition
241.0,1.032,CANDIDATE
946.0,0.903,CONFIRMED
415.0,1.049,CANDIDATE
1115.0,0.927,CONFIRMED
864.0,1.145,CONFIRMED
539.0,0.8,CONFIRMED
513.0,0.926,CONFIRMED
667.0,0.926,CONFIRMED
376.0,0.921,CONFIRMED
730.0,0.947,CONFIRMED
678.0,0.821,CONFIRMED
1001.0,0.821,CONFIRMED
1130.0,0.821,CONFIRMED
657.0,1.038,CONFIRMED
729.0,0.903,CONFIRMED
1258.0,0.903,CONFIRMED
534.0,0.903,CONFIRMED
624.0,0.934,CONFIRMED
1054.0,0.761,CONFIRMED
1051.0,1.017,CANDIDATE
1982.0,0.911,CANDIDATE
1163.0,1.399,CONFIRMED
817.0,1.084,CONFIRMED
655.0,1.468,CONFIRMED
1164.0,1.185,CONFIRMED
466.0,1.038,CONFIRMED
1640.0,1.319,CONFIRMED
649.0,0.816,CONFIRMED
1848.0,0.806,CONFIRMED
516.0,0.97,CONFIRMED
812.0,0.97,CONFIRMED
1278.0,0.944,CONFIRMED
725.0,0.944,CONFIRMED
507.0,0.56,CONFIRMED
398.0,0.98,CANDIDATE
1374.0,1.268,CONFIRMED
1132.0,1.115,CANDIDATE
1144.0,1.266,CONFIRMED
849.0,0.921,CONFIRMED
1449.0,0.995,CONFIRMED
857.0,0.886,CONFIRMED
989.0,0.944,CONFIRMED
984.0,0.974,CONFIRMED
1086.0,1.039,CONFIRMED
325.0,1.164,CONFIRMED
995.0,1.06,CONFIRMED
419.0,0.963,CONFIRMED
513.0,0.984,CONFIRMED
694.0,0.984,CONFIRMED
321.0,0.984,CONFIRMED
668.0,0.872,CONFIRMED
310.0,1.09,CONFIRMED
907.0,1.155,CONFIRMED
1251.0,1.123,CONFIRMED
1736.0,1.076,CONFIRMED
433.0,1.031,CONFIRMED
586.0,0.56,CONFIRMED
893.0,1.031,CONFIRMED
1124.0,1.004,CONFIRMED
786.0,0.925,CONFIRMED
992.0,0.924,CONFIRMED
900.0,0.951,CONFIRMED
1983.0,0.977,CONFIRMED
